id,storeNumber,siteName,group,addressLine,postcode,region,customerProgram,services,outsourcer,targetGoLive,stage
b46db1b4-336a-4ba0-9596-b21e996a3371,6981,Bromley High Street Express,914,Tesco Express 3-5 High Street Bromley London BR1 1LF,BR1 1LF,South,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
450ab88e-0d01-42aa-9312-24f9ed585747,5651,Bromley,44,Homesdale Rd  Bromley Kent BR1 2UE,BR1 2UE,South,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
da012ca6-208c-4619-8ac0-47607a573a67,4564,Bromley Plaisow,914,1 Plaistow Lane  Bromley London BR1 4DS,BR1 4DS,South,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
30e2309c-76d5-4b33-b406-3d952186cd47,5444,Downham Bromley Road,914,Tesco Stores Ltd 478-486 Bromley Road Bromley Kent BR1 4PB,BR1 4PB,South,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
acbe7ca3-dc6e-4146-8fae-cb098a5adb87,2203,Bromley,914,Tesco Express 115-119 Westmoreland Road Bromley Kent BR2 0TY,BR2 0TY,South,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
93e7c3fc-ac02-4fee-85c0-0e531fdb8118,2445,Elmers End,44,Croydon Rd  Beckenham London BR3 4AA,BR3 4AA,South,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
b0d40c48-389c-4cc0-8f54-0f7c55835125,6224,Beckenham,914,Tesco Express 410-412 Croydon Road Beckenham Kent BR3 4EP,BR3 4EP,South,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
92e35ff8-e4a1-40c1-a154-4c5d06e7a276,4779,Beckenham Chinese Garage Express,914,Stone Park Ave  Beckenham Kent BR3 3LS,BR3 6RH,South,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
a137b38d-5c40-4717-87e5-b68faac53c48,3148,St Pauls Cray,917,Sevenoaks Way St Pauls Cray Orpington Kent BR5 3AQ,BR5 3AQ,South,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
f6d138a8-6205-4e2f-818b-5b00e263635a,5904,Orpington,44,9 Augustus Ln  Orpington Kent BR6 0NH,BR6 0NH,South,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
9cec3507-956b-4e3a-ac5b-3acad0a1ffd2,2072,Barking,43,Tesco Stores Ltd Highbridge Road Barking London IG11 7BS,IG11 7BS,East,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
fdfbd856-68a5-4326-9fb4-95af48433f24,2078,Ilford,43,796 Cranbrook Road  Ilford London IG6 1HZ,IG6 1HZ,East,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
c19c5233-2945-468c-9d9d-e61c993980d8,5191,Manford Way Chigwell,903,Tesco Express 185 Manford Way Chigwell Essex IG7 4DN,IG7 4DN,East,TESCO,KH & AR,1st Nationwide,8/28/2026,PROPOSED
4a3e9d31-e2a9-4502-b92f-1d3eb1f21633,3422,Woodford Green,43,Tesco Stores Ltd Southend Road Woodford Green Essex IG8 8GE,IG8 8GE,East,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
aa84834a-1c40-405e-a2aa-faa7e5c2e223,5727,Woodford Green,903,253-269 High Rd  Woodford Green Essex IG8 9FB,IG8 9FB,East,TESCO,KH & AR,1st Nationwide,9/30/2025,PROPOSED
